Species,Name
GCF_010183535.1,Caenorhabditis remanei
GCF_000149515.1,Caenorhabditis remanei
GCF_000004555.2,Caenorhabditis briggsae
GCF_000002985.6,Caenorhabditis elegans
GCA_965234135.1,Caenorhabditis sp. BRC20483
GCA_965234095.1,Caenorhabditis sp. BRC20456
GCA_965234085.1,Caenorhabditis sp. BRC20456
GCA_965234065.1,Caenorhabditis sp. BRC20483
GCA_965231745.1,Caenorhabditis dolens
GCA_965231735.1,Caenorhabditis dolens
GCA_965219145.1,Caenorhabditis waitukubuli
GCA_965218015.1,Caenorhabditis waitukubuli
GCA_965217795.1,Caenorhabditis agridulce
GCA_965217555.1,Caenorhabditis agridulce
GCA_964416725.1,Auanema sp. JU3283
GCA_964264295.1,Auanema sp. JU3284
GCA_964264275.1,Oscheius sp. DF5083
GCA_964264255.1,Oscheius sp. JU1917
GCA_964264245.1,Oscheius sp. PF1305
GCA_964264195.1,Oscheius sp. JU992
GCA_964264185.1,Oscheius sp. JU992
GCA_964264175.1,Oscheius sp. JU1182
GCA_964264165.1,Oscheius sp. JU1182
GCA_964264085.1,Oscheius sp. TWN1964
GCA_964263935.1,Oscheius sp. TWN1964
GCA_964263805.1,Oscheius sp. JU75
GCA_964263765.1,Auanema sp. APS25
GCA_964263735.1,Oscheius sp. SB194
GCA_964263715.1,Auanema sp. APS25
GCA_964263695.1,Auanema sp. JU1809
GCA_964263365.1,Oscheius sp. TWN1984
GCA_964261325.1,Oscheius sp. SB194
GCA_964261265.1,Oscheius sp. JU75
GCA_964261225.1,Oscheius sp. TWN1984
GCA_964213925.1,Caenorhabditis angaria
GCA_964213915.1,Caenorhabditis angaria
GCA_964212045.1,Caenorhabditis kamaaina
GCA_964211945.1,Caenorhabditis kamaaina
GCA_964204725.1,Caenorhabditis sp. DF5070
GCA_964204685.1,Caenorhabditis sp. DF5070
GCA_964198135.1,Caenorhabditis quiockensis
GCA_964198105.1,Caenorhabditis quiockensis
GCA_964197835.1,Caenorhabditis monodelphis
GCA_964197825.1,Caenorhabditis monodelphis
GCA_964057245.1,Auanema rhodensis
GCA_964057235.1,Oscheius myriophilus
GCA_964057225.1,Auanema rhodensis
GCA_964057215.1,Oscheius myriophilus
GCA_964036275.1,Litoditis marina
GCA_964036255.1,Caenorhabditis virilis
GCA_964036215.1,Oscheius sp. DF5033
GCA_964036205.1,Oscheius sp. DF5033
GCA_964036175.1,Diploscapter coronatus
GCA_964036165.1,Caenorhabditis virilis
GCA_964036155.1,Diploscapter coronatus
GCA_964036145.1,Litoditis marina
GCA_964036135.1,Caenorhabditis brenneri
GCA_963978915.1,Caenorhabditis parvicauda
GCA_963978825.1,Caenorhabditis parvicauda
GCA_963966625.1,Caenorhabditis zanzibari
GCA_963966605.1,Caenorhabditis sulstoni
GCA_963966575.1,Caenorhabditis zanzibari
GCA_963966565.1,Caenorhabditis sulstoni
GCA_963966185.1,Rhabditoides inermis
GCA_963932405.1,Caenorhabditis macrosperma
GCA_963932285.1,Caenorhabditis macrosperma
GCA_963932085.1,Caenorhabditis sinica
GCA_963932055.1,Caenorhabditis wallacei
GCA_963932045.1,Caenorhabditis sinica
GCA_963932035.1,Caenorhabditis wallacei
GCA_963931815.1,Caenorhabditis plicata
GCA_963931775.1,Caenorhabditis plicata
GCA_963921155.1,Caenorhabditis elegans
GCA_963921145.1,Caenorhabditis elegans
GCA_963921135.1,Caenorhabditis elegans
GCA_963921125.1,Caenorhabditis elegans
GCA_963921115.1,Caenorhabditis elegans
GCA_963921105.1,Caenorhabditis elegans
GCA_963921095.1,Caenorhabditis elegans
GCA_963921085.1,Caenorhabditis elegans
GCA_963921075.1,Caenorhabditis elegans
GCA_963921065.1,Caenorhabditis elegans
GCA_963921055.1,Caenorhabditis elegans
GCA_963921045.1,Caenorhabditis elegans
GCA_963921035.1,Caenorhabditis elegans
GCA_963921025.1,Caenorhabditis elegans
GCA_963921015.1,Caenorhabditis elegans
GCA_963921005.1,Caenorhabditis elegans
GCA_963920995.1,Caenorhabditis elegans
GCA_963920985.1,Caenorhabditis elegans
GCA_963920975.1,Caenorhabditis elegans
GCA_963920965.1,Caenorhabditis elegans
GCA_963573275.1,Caenorhabditis uteleia
