Assembly Accession,Assembly Name,Organism Name,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_000002985.3,WBcel235,Caenorhabditis elegans,,Bristol N2,,,,,Annotation submitted by C. elegans Sequencing Consortium,Complete Genome,2013-02-07,,6
GCF_000002985.6,WBcel235,Caenorhabditis elegans,,Bristol N2,,,,,WormBase WS294,Complete Genome,2013-02-07,,6
GCA_003052745.1,Sp34_v7,Caenorhabditis inopinata,,NKZ35,,,,,,Chromosome,2017-06-22,,6
GCA_027920645.1,ASM2792064v1,Caenorhabditis nigoni,,JU1421,,,,hermaphrodite,,Chromosome,2023-01-19,,6
GCA_964036155.1,nxDipCoro1.1,Diploscapter coronatus,,,,,,,,Chromosome,2024-05-12,,2
GCA_043792875.1,NIC58_v2,Caenorhabditis tropicalis,,,,,"NIC 58,00",,,Chromosome,2024-10-28,JBGGLX01,6
GCA_963570955.1,nxCaeAfra1.1,Caenorhabditis afra,,,,,,,,Chromosome,2023-10-27,,6
GCA_932521025.1,nxOscOnir1.1,Oscheius onirici,,,,,,,,Chromosome,2022-03-23,,6
GCA_963572205.1,nxCaeImpe1.1,Caenorhabditis imperialis,,,,,,,,Chromosome,2023-10-27,,6
GCA_932521405.1,nxOscSpeu1.1,Oscheius sp. JU1382,,JU1382,,,,,,Chromosome,2022-03-23,,6
GCA_932521415.1,nxOscSper1.1,Oscheius sp. DF5120,,DF5120,,,,,,Chromosome,2022-03-23,,6
GCA_963966625.1,nxCaeZanz1.1,Caenorhabditis zanzibari,,,,,,,,Chromosome,2024-02-24,,6
GCA_963572245.1,nxCaeSpee1.1,Caenorhabditis sp. 8 KK-2011,,,,,,,,Chromosome,2023-10-27,,6
GCA_000004555.3,CB4,Caenorhabditis briggsae,,AF16,,,,,Annotation submitted by The C.briggsae Sequencing Consortium,Chromosome,2014-07-02,CAAC03,638
GCF_000004555.2,CB4,Caenorhabditis briggsae,,AF16,,,,,Annotation submitted by The C.briggsae Sequencing Consortium,Chromosome,2014-07-02,CAAC03,638
GCA_010183535.1,CRPX506,Caenorhabditis remanei,,PX506,,,,pooled males and females,Annotation submitted by University of Oregon,Chromosome,2020-02-10,WUAV01,186
GCF_010183535.1,CRPX506,Caenorhabditis remanei,,PX506,,,,pooled males and females,Annotation submitted by University of Oregon,Chromosome,2020-02-10,WUAV01,186
GCA_963932045.1,nxCaeSini1.1,Caenorhabditis sinica,,,,,,,,Chromosome,2024-02-07,CAWVPP01,8
GCA_964036275.1,nrLitMari1.1,Litoditis marina,,,,,,,,Chromosome,2024-05-12,CAXIWQ01,522
GCA_964036135.1,CAEBRE_CFB2252,Caenorhabditis brenneri,,CFB2252,,,,,"Annotation submitted by University of Oregon, Institute of Ecology and Evolution",Chromosome,2024-06-06,CAXIWG01,169
GCA_964213925.1,nxCaeAnga2.1,Caenorhabditis angaria,,,,,,,,Chromosome,2024-08-22,CAXOWA01,7
GCA_963572235.1,nxCaeJapo1.1,Caenorhabditis japonica,,,,,,,,Chromosome,2023-10-29,CAUYRG01,10
GCA_963932035.1,nxCaeWall1.1,Caenorhabditis wallacei,,,,,,,,Chromosome,2024-02-07,CAWVPO01,7
GCA_963573275.1,nxCaeUtel1.1,Caenorhabditis uteleia,,,,,,,,Chromosome,2023-10-29,CAUYJG01,9
GCA_964197825.1,nxCaeMono1.1,Caenorhabditis monodelphis,,,,,,,,Chromosome,2024-07-08,CAXMXK01,12
GCA_932521035.1,nxOscDolc1.1,Oscheius dolichura,,,,,,,,Chromosome,2022-03-23,CAKOAU01,14
GCA_963931815.1,nxCaePlic1.1,Caenorhabditis plicata,,,,,,,,Chromosome,2024-02-06,CAWVOT01,17
GCA_964036255.1,nxCaeViri1.1,Caenorhabditis virilis,,JU1968,,,,,,Chromosome,2024-05-12,CAXIWO01,17
GCA_963572285.1,nxCaeDros1.1,Caenorhabditis drosophilae,,,,,,,,Chromosome,2023-10-27,CAUYEI01,9
GCA_963572265.1,nxCaeDoug1.1,Caenorhabditis doughertyi,,,,,,,,Chromosome,2023-10-29,CAUYEG01,18
GCA_963932285.1,nxCaeMacr1.1,Caenorhabditis macrosperma,,,,,,,,Chromosome,2024-02-07,CAWVQD01,7
GCA_964057225.1,nxAuaRhod1.1,Auanema rhodensis,,,,,,,,Chromosome,2024-05-19,CAXKVF01,111
GCA_002259235.3,ASM225923v3,Caenorhabditis latens,,PX534,,,,,,Chromosome,2023-04-10,NIPN03,37
GCA_964198105.1,nxCaeQuio2.1,Caenorhabditis quiockensis,,,,,,,,Chromosome,2024-07-12,CAXMYM01,11
GCA_030370435.1,ASM3037043v1,Auanema freiburgensis,,APS7,,,,,,Chromosome,2023-06-28,JAROKO01,53
GCA_964036215.1,nxOscSpes1.1,Oscheius sp. DF5033,,DF5033,,,,,,Chromosome,2024-05-12,CAXIWN01,66
GCA_963966605.1,nxCaeSuls1.1,Caenorhabditis sulstoni,,,,,,,,Chromosome,2024-02-24,CAWZZW01,7
GCA_964057215.1,nxOscMyri1.1,Oscheius myriophilus,,,,,,,,Chromosome,2024-05-19,CAXKVG01,113
GCA_963978915.1,nxCaeParv1.1,Caenorhabditis parvicauda,,,,,,,,Chromosome,2024-03-10,CAXBUI01,497
GCA_037178975.1,ASM3717897v1,Oscheius tipulae,,,,,CEZ-166.1,,,Contig,2024-03-15,JASJZH01,
GCA_900536315.3,CBECE_v1,Caenorhabditis becei,,QG2083,,,,,,Scaffold,2019-04-11,UNPF02,1565
GCA_037178855.1,ASM3717885v1,Oscheius sp. JU75,,,,,JU75,,,Contig,2024-03-15,JASJZC01,
GCA_902829315.1,CBOVIS_v1.1,Caenorhabditis bovis,,,,,,,Annotation submitted by BANG,Contig,2020-04-17,CADEPM01,
GCA_022343465.1,ASM2234346v1,Oscheius sp. G VE-2021,,,,,PB127,hermaphrodite,,Contig,2022-02-18,JAJQXH01,
GCA_946814055.1,CNIP,Caenorhabditis sp. 36 PRJEB53466,,NKZ392,,,,,Annotation submitted by University of Miyazaki,Scaffold,2022-09-15,CAMPFS01,10
GCA_958450365.1,M.belari Hybrid genome bis,Mesorhabditis belari,,JU2817,,,,,Annotation submitted by LBMC UMR5239,Scaffold,2023-07-18,CAUEEP01,939
GCA_904845305.1,CAUJ,Caenorhabditis auriculariae,,NKZ352,,,,,Annotation submitted by University of Miyazaki,Scaffold,2022-02-18,CAJGYM01,433
GCA_963966185.1,Rhabditoides_inermis_RS5678,Rhabditoides inermis,,,,,,,,Contig,2024-02-24,CAWZYM01,
GCA_958295435.1,M.spiculigera Hybrid genome,Mesorhabditis spiculigera,,AF72,,,,,Annotation submitted by LBMC UMR5239,Scaffold,2023-07-06,CATQJA01,2807
GCA_038088335.1,ASM3808833v1,Mesorhabditis sp. LJ9110,,,,,LJ9110,mixed,,Contig,2024-04-12,JBBGBA01,
GCA_036852015.1,ASM3685201v1,Pelodera strongyloides,,DF5013,,,,pooled male and female,,Contig,2024-02-23,JAANDG01,
GCA_900883565.2,CPANA_v1,Caenorhabditis panamensis,,QG2080,,,,,,Scaffold,2019-04-11,CAAHFE01,985
GCA_900536305.3,CTRIB_v1,Caenorhabditis sp. 40 LS-2015,,JU2818,,,,,,Scaffold,2019-04-11,UNPG02,3276
GCA_900536415.3,CQUIO_v1,Caenorhabditis sp. 38 MB-2015,,JU2809,,,,,,Scaffold,2019-04-11,UNPQ02,4890
GCA_943334845.2,JU1783_megahit_v1_1,Auanema sp. JU1783,,JU1783,,,,,Annotation submitted by UNIVERSITY OF WARWICK,Scaffold,2022-11-27,CALQYR02,7511
GCA_900536285.3,CZANZ_v1,Caenorhabditis sp. 26 LS-2015,,JU2190,,,,,,Scaffold,2019-04-11,UNPC02,3127
GCA_900536295.3,CUTEL_v1,Caenorhabditis sp. 31 LS-2015,,JU2585,,,,,,Scaffold,2019-04-11,UNPD02,3222
GCA_002287525.1,DipSp1Ass11Ann3,Diploscapter pachys,,,,,PF1309,,Annotation submitted by New York University,Scaffold,2017-09-07,LIAE01,10775
